Age,Country,EdLevel,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeWantToWorkWith
25-34 years old,Brazil,Some college/university study without earning a degree,7,JavaScript;TypeScript,JavaScript;TypeScript,SQLite,SQLite,Netlify,Netlify,Express;Node.js;React
25-34 years old,Pakistan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,JavaScript;TypeScript,JavaScript;Python;TypeScript,PostgreSQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Django;Express;NestJS;Node.js
35-44 years old,"Iran, Islamic Republic of...","Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Objective-C;PHP;PowerShell;Python;SQL,C;C++;HTML/CSS;JavaScript;Objective-C;PHP;PowerShell;Python;R;Solidity;SQL,Microsoft SQL Server;MySQL;Oracle,MySQL,Cloudflare,Cloudflare;Firebase;Google Cloud;IBM Cloud Or Watson,Express;jQuery;Next.js;Node.js;Remix;Solid.js;WordPress
35-44 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",9,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,MySQL,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;EventStoreDB;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Presto;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Managed Hosting,"Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Colocation;Databricks;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;PythonAnywhere;Render;Scaleway;Supabase;Vercel;VMware;Vultr",Angular;AngularJS;CodeIgniter;Deno;FastAPI;Fastify;Flask;Gatsby;Htmx;jQuery;Laravel;Node.js;Nuxt.js;Phoenix;Play Framework;React;Remix;Ruby on Rails;Solid.js;Spring Boot;Strapi;Svelte;Symfony;Vue.js;Yii 2
25-34 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",9,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Java;JavaScript;Kotlin;TypeScript,MongoDB;Oracle,MongoDB;PostgreSQL,Amazon Web Services (AWS);OpenShift,Amazon Web Services (AWS),Node.js;React;Spring Boot
45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",30,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;R;Rust;SQL,Elasticsearch;MongoDB;MySQL;PostgreSQL,Cassandra;Databricks SQL;Elasticsearch;MariaDB;MongoDB;MySQL;Neo4J;PostgreSQL;Solr,Amazon Web Services (AWS);VMware,"Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai;VMware",FastAPI;Flask;Htmx;React;Spring Boot
35-44 years old,Japan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",19,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,Cloud Firestore;MySQL;PostgreSQL,Cloud Firestore;SQLite;Supabase,Firebase;Google Cloud;Netlify,Cloudflare;Firebase;Netlify;Scaleway,Astro;Htmx;Nuxt.js;Solid.js;Svelte;Vue.js
45-54 years old,Nigeria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;MicroPython;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zephyr;Zig,Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;MicroPython;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zephyr;Zig,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;EventStoreDB;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Presto;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;EventStoreDB;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Presto;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB,"Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Colocation;Databricks;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;PythonAnywhere;Render;Scaleway;Supabase;Vercel;VMware;Vultr","Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Colocation;Databricks;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;PythonAnywhere;Render;Scaleway;Supabase;Vercel;VMware;Vultr",Angular;AngularJS;ASP.NET;ASP.NET CORE;Astro;Blazor;CodeIgniter;Deno;Django;Drupal;Elm;Express;FastAPI;Fastify;Flask;Gatsby;Htmx;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;Play Framework;React;Remix;Ruby on Rails;Solid.js;Spring Boot;Strapi;Svelte;Symfony;Vue.js;WordPress;Yii 2
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,C++;Python;Rust;SQL,Go;Python;Rust;SQL,Dynamodb;Elasticsearch;PostgreSQL;Redis,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Databricks,Amazon Web Services (AWS);Databricks,Django
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;Rust;TypeScript,PostgreSQL;Snowflake,MongoDB;Snowflake,Amazon Web Services (AWS),Amazon Web Services (AWS);Google Cloud,Express;React;Remix
18-24 years old,Finland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Kotlin;MATLAB;PowerShell;Python;SQL;TypeScript,C;C++;Lua;MicroPython;Rust,Cosmos DB;MariaDB;MongoDB;PostgreSQL;SQLite,MariaDB;MongoDB;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Cloudflare;Digital Ocean,Deno;Svelte;Vue.js
45-54 years old,India,Some college/university study without earning a degree,24,HTML/CSS;TypeScript,C#;HTML/CSS;Rust;TypeScript,PostgreSQL;Supabase,Elasticsearch;PostgreSQL;Supabase,Amazon Web Services (AWS);Google Cloud;Vercel,Amazon Web Services (AWS);Cloudflare;Google Cloud;Vercel,Astro;Deno;Fastify;NestJS;Next.js;Node.js;React
45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,BigQuery;MongoDB;PostgreSQL,BigQuery;MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Google Cloud,React
25-34 years old,Philippines,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SQL;TypeScript,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Cloud Firestore;MariaDB;MySQL;PostgreSQL;SQLite,Cloud Firestore;MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure;PythonAnywhere;Render;Vercel,Firebase;Google Cloud;Microsoft Azure;Vercel,Flask;Nuxt.js
25-34 years old,Italy,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,C;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript;Visual Basic (.Net),Dart;Go;HTML/CSS;PHP;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MariaDB;MongoDB;MySQL;Oracle;Redis;SQLite,Cloud Firestore;Firebase Realtime Database;MariaDB;MySQL;Redis;SQLite,Firebase;Microsoft Azure;Netlify,Firebase;Hetzner,Astro;Laravel;NestJS;Vue.js
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;Go;JavaScript;Kotlin;PowerShell;Python;Ruby;Rust;SQL;TypeScript,Microsoft Access;Microsoft SQL Server,Cosmos DB;MariaDB;Microsoft SQL Server;MongoDB,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;VMware,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;VMware,Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Django;Next.js;Node.js;React;Vue.js
35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",2,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL,MongoDB;MySQL;PostgreSQL,Managed Hosting;Netlify,Managed Hosting;Netlify,jQuery;Node.js;React;WordPress
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),C#;Kotlin;PowerShell;SQL,Microsoft SQL Server;SQLite,MariaDB;Microsoft SQL Server;Redis;SQLite,Digital Ocean;Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;React
18-24 years old,United States of America,Some college/university study without earning a degree,3,Bash/Shell (all shells);C;C++;JavaScript;Python;Rust;SQL;TypeScript,Rust;SQL;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),React
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,MongoDB,Dynamodb;MongoDB;Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Firebase;Google Cloud,NestJS;Node.js
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,HTML/CSS;JavaScript;Python;Ruby;SQL,HTML/CSS;JavaScript;Python;Ruby;SQL,MySQL;Redis,MySQL;Redis,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Digital Ocean,FastAPI;Ruby on Rails
35-44 years old,Switzerland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,Dart;Go;HTML/CSS;JavaScript;SQL;TypeScript,Dart;Go;HTML/CSS;JavaScript;Python;Ruby;Rust;TypeScript,Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL,Firebase Realtime Database,Digital Ocean;Google Cloud,Google Cloud,Node.js;React
35-44 years old,Nigeria,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,HTML/CSS;JavaScript;SQL;TypeScript,C#;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Couch DB;Dynamodb;Firebase Realtime Database;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Cassandra;Cloud Firestore;Couch DB;Dynamodb;Firebase Realtime Database;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;Deno;Express;NestJS;Next.js;Node.js;React;Remix;Spring Boot;Svelte;Vue.js
35-44 years old,United Arab Emirates,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",14,Apex;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Alibaba Cloud;Amazon Web Services (AWS);Firebase;Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET CORE;FastAPI;Flask;jQuery;Node.js
18-24 years old,United States of America,Some college/university study without earning a degree,,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,MongoDB;MySQL,"Cloudflare;Digital Ocean;Google Cloud;Linode, now Akamai;Netlify;Supabase;Vercel;VMware","Cloudflare;Linode, now Akamai;Netlify",Next.js;Node.js
18-24 years old,Germany,Some college/university study without earning a degree,4,Assembly;C#;HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MongoDB;PostgreSQL,Cloudflare;Digital Ocean;Hetzner,Cloudflare;Digital Ocean;Hetzner,Next.js;Node.js;React
25-34 years old,Czech Republic,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,C#;HTML/CSS;JavaScript;SQL,C#;F#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor
18-24 years old,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);C;C#;C++;Fortran;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL,C#;JavaScript;PHP;SQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Redis;SQLite,"Firebase;Google Cloud;Linode, now Akamai;VMware",Firebase;Google Cloud,AngularJS;Node.js;Spring Boot
25-34 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,Bash/Shell (all shells);Go;Kotlin;Python;SQL,Bash/Shell (all shells);Go;Kotlin;Python;Rust;Scala;SQL,Databricks SQL;Dynamodb;Elasticsearch;Redis,Cassandra;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Databricks,Amazon Web Services (AWS),Django;FastAPI
25-34 years old,Morocco,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",7,Assembly;Bash/Shell (all shells);C;C#;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Perl;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;Swift;TypeScript,Elasticsearch;H2;MariaDB;MongoDB;MySQL;Oracle;SQLite,BigQuery;Cassandra;Cosmos DB;H2;MariaDB;MongoDB;MySQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud,Angular;Node.js;Spring Boot
25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);Elixir;JavaScript;Ruby;SQL,Bash/Shell (all shells);Elixir;JavaScript;Ruby;SQL;Swift;TypeScript,MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Fly.io;Vercel,Fly.io;Vercel,Phoenix;Ruby on Rails;Strapi;Svelte
25-34 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Cloudflare,Express;Node.js;Vue.js
45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Python;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Redis;Snowflake,BigQuery;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;Snowflake,Google Cloud;Microsoft Azure,Google Cloud,ASP.NET CORE;Node.js;Svelte
18-24 years old,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;TypeScript,HTML/CSS;Kotlin;TypeScript;Zig,Microsoft SQL Server;PostgreSQL;SQLite,PostgreSQL;SQLite,Cloudflare;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io;Hetzner;Netlify;Vercel,Astro;Htmx;React;Solid.js;Svelte;Vue.js
25-34 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,Bash/Shell (all shells);C++;Go;JavaScript;Python;TypeScript,Bash/Shell (all shells);Go;Python;TypeScript,BigQuery;PostgreSQL;Supabase,BigQuery;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Google Cloud,React
25-34 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,HTML/CSS;JavaScript;TypeScript,HTML/CSS;TypeScript,MongoDB;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Heroku;Vercel,Amazon Web Services (AWS);Google Cloud;Vercel,Express;NestJS;Next.js;Node.js;React;Vue.js
25-34 years old,Norway,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,Java;JavaScript;Kotlin;SQL;TypeScript,JavaScript;TypeScript,Dynamodb;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Vercel,Vercel,AngularJS;Next.js;Node.js;React
25-34 years old,Brazil,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,C#;Java;JavaScript;Python;R;Scala;SQL;VBA,Python;Scala;SQL,Databricks SQL;Microsoft SQL Server;MySQL,Cassandra;Databricks SQL;MariaDB;Microsoft SQL Server,Databricks;Firebase;Microsoft Azure,Databricks;Microsoft Azure,Flask
18-24 years old,Guatemala,Some college/university study without earning a degree,4,C#;TypeScript,C#;TypeScript,Microsoft SQL Server;MongoDB;SQLite,Microsoft SQL Server;MongoDB;SQLite,Microsoft Azure,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Node.js
18-24 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C++;GDScript;Go;Java;Rust;Scala;SQL;TypeScript;Zig,H2;MongoDB;MySQL;Oracle;PostgreSQL;Redis,H2;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase,Microsoft Azure;VMware,"Hetzner;Linode, now Akamai;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);Supabase;Vercel;VMware",Angular;Gatsby;Htmx;Next.js;React;Spring Boot;Svelte;WordPress
25-34 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,Bash/Shell (all shells);Go;JavaScript;Lua;OCaml;Python;Rust;TypeScript;Zig,Bash/Shell (all shells);Elixir;Go;JavaScript;Lua;OCaml;Python;Rust;TypeScript;Zig,MariaDB;Microsoft SQL Server;PostgreSQL;Redis;SQLite;Supabase,Cockroachdb;MariaDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Hetzner;Supabase;Vercel,Amazon Web Services (AWS);Cloudflare;Hetzner;Vercel,Htmx;Phoenix;React;Solid.js;Spring Boot
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",24,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);C;HTML/CSS;JavaScript;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL,MongoDB,Firebase,Cloudflare;Firebase,Express;Node.js
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript,Go;Groovy;TypeScript,H2,H2,Amazon Web Services (AWS),Amazon Web Services (AWS),React;Spring Boot
25-34 years old,Bulgaria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,HTML/CSS;JavaScript;PHP;Python;SQL,Go;HTML/CSS;JavaScript;PHP;Python;Rust;Solidity;SQL,MariaDB;MySQL;Redis,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,Digital Ocean,Amazon Web Services (AWS);Digital Ocean,Django;FastAPI;Flask;jQuery;Laravel
18-24 years old,Philippines,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Solidity;SQL;TypeScript,Dynamodb;MongoDB;PostgreSQL,BigQuery;Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase;Supabase;Vercel,Angular;Astro;Deno;Django;Express;Flask;Gatsby;Htmx;NestJS;Node.js;React;Remix;Svelte
35-44 years old,Denmark,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);Java;PowerShell;SQL,Microsoft Access;Microsoft SQL Server;MySQL;Oracle;SQLite,Cassandra;Cosmos DB;Elasticsearch;Microsoft SQL Server;Oracle,IBM Cloud Or Watson;Microsoft Azure,Microsoft Azure;VMware,ASP.NET;ASP.NET CORE
25-34 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,Cosmos DB;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;Next.js;Node.js;React
35-44 years old,Finland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Less than 1 year,Bash/Shell (all shells);Go;Python,Go;Python,MongoDB;SQLite,MongoDB;PostgreSQL,Google Cloud,"Amazon Web Services (AWS);Digital Ocean;Google Cloud;Linode, now Akamai",Django;FastAPI;Flask;Htmx;Vue.js
45-54 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",24,C#;Go;Java;JavaScript;Perl;Python;SQL;TypeScript,Go;Python;Rust;SQL;TypeScript,Firebird;Microsoft SQL Server;Oracle;Redis,BigQuery;Microsoft SQL Server;MongoDB;Oracle;Redis;Snowflake,Amazon Web Services (AWS),Amazon Web Services (AWS);Google Cloud,ASP.NET CORE;FastAPI;NestJS;Next.js;Node.js;React;Vue.js
35-44 years old,Netherlands,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,Bash/Shell (all shells);Go;Java;JavaScript;Python;Scala;SQL;TypeScript,Dart;Go;Python;R;SQL;Swift;TypeScript,DuckDB;PostgreSQL;Redis,BigQuery;Cassandra;Cockroachdb;DuckDB;PostgreSQL;Redis,Google Cloud;Managed Hosting;Microsoft Azure;OpenShift,Google Cloud;Managed Hosting;Microsoft Azure,Fastify;Flask;Node.js;Svelte
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Objective-C;Python;SQL;TypeScript,PostgreSQL,Elasticsearch;Firebase Realtime Database;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase,Express;NestJS;Node.js;React
18-24 years old,United States of America,"Associate degree (A.A., A.S., etc.)",5,Bash/Shell (all shells);C#;Go;JavaScript;Python;Solidity;SQL,Bash/Shell (all shells);C#;JavaScript;Rust;Solidity;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Supabase,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Microsoft Azure;Supabase;Vercel,Amazon Web Services (AWS);Supabase,ASP.NET CORE;Express;Node.js;React;Svelte
25-34 years old,Austria,Some college/university study without earning a degree,7,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;Java;Kotlin;Python;Rust;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,MongoDB;PostgreSQL;Redis;SQLite,"Cloudflare;Linode, now Akamai;Microsoft Azure",Cloudflare;Google Cloud;Microsoft Azure;Supabase,Angular;Deno;FastAPI;Node.js;Spring Boot;Svelte
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,C#;HTML/CSS;SQL;Visual Basic (.Net),C#;HTML/CSS;SQL;Visual Basic (.Net),Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure;Netlify;Vercel,Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure;Netlify;Vercel,Angular;AngularJS;ASP.NET;ASP.NET CORE
